Row,LC17,LPLC2,LC4,LC9,LPLC4,LC16,LC6,LC26,LC24,LC25,LC20,LC22,LPLC1,LC18,LC15,LC11,LC21,LC13,LC12
bodyId_1473379892,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,24,27,0,0
bodyId_1474062225,0,0,0,0,0,0,0,0,1,5,1,0,0,0,50,0,66,0,0
bodyId_1474446666,0,0,0,1,27,0,0,0,0,0,0,26,0,0,0,0,0,0,0
bodyId_1474757586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,16,0,0
bodyId_1475188631,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
bodyId_1477161691,0,2,0,0,0,0,0,0,0,8,0,0,0,0,31,0,0,0,0
bodyId_1477166538,0,0,0,34,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0
bodyId_1477434062,0,0,0,0,0,0,0,8,2,0,0,0,0,0,31,1,54,0,0
bodyId_1478142566,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,32,67,0,0
bodyId_1480222035,0,52,15,0,0,0,0,0,0,5,0,0,1,3,40,0,0,0,0
bodyId_1481547572,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,20
bodyId_1498720407,0,0,0,55,0,0,30,1,0,1,0,0,0,0,0,0,0,0,0
bodyId_1499048899,0,0,0,0,4,0,0,0,0,0,0,16,0,0,0,0,0,0,0
bodyId_1500063929,0,0,0,0,46,0,0,0,0,0,8,4,0,0,0,0,9,62,0
bodyId_1501790467,0,0,22,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0
bodyId_1504406220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,14,0,0
bodyId_1504428248,103,10,0,0,0,0,0,0,0,0,0,0,0,13,6,1,74,0,0
bodyId_1507109459,0,0,0,0,0,0,0,0,0,13,0,0,0,0,38,0,0,0,0
bodyId_1507446255,0,0,0,0,0,0,0,1,1,19,0,0,0,0,37,0,0,0,0
bodyId_1507812837,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,27,0,0
bodyId_1508123633,180,2,12,0,0,0,0,0,0,0,0,0,1,0,61,0,0,0,10
bodyId_1508128473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,49,1,0,0
bodyId_1509146177,0,0,0,0,0,0,0,0,0,2,0,0,0,0,35,0,15,0,0
bodyId_1511235746,0,1,2,0,0,0,0,0,0,0,0,0,55,8,0,47,0,0,0
bodyId_1511593574,0,0,0,0,0,0,0,0,0,14,0,0,2,1,3,0,23,0,0
bodyId_1533782991,0,0,0,0,45,0,0,0,0,0,0,34,0,0,0,0,0,1,0
bodyId_1534119934,0,0,0,0,0,0,0,0,0,0,0,0,30,6,0,19,2,0,0
bodyId_1534448605,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,29,0,0
bodyId_1534798033,0,0,0,1,0,0,0,0,0,2,0,0,0,0,39,54,4,0,0
bodyId_1534798522,0,0,0,0,15,0,0,0,0,0,0,13,0,0,0,0,0,0,0
bodyId_1535139804,0,0,0,0,0,0,0,0,0,0,0,0,22,9,0,39,0,0,0
bodyId_1535186205,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,13,0,0,0
bodyId_1535488185,0,5,14,0,31,0,0,0,0,0,0,17,8,0,0,0,0,0,0
bodyId_1535813419,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,36,50,0,0
bodyId_1536447127,0,0,0,0,0,0,0,0,0,3,0,0,0,0,58,41,11,0,0
bodyId_1537130680,0,0,0,0,0,0,0,0,0,8,0,0,0,0,9,1,53,0,0
bodyId_1539189146,0,0,0,0,0,0,0,0,0,0,0,0,51,4,0,17,0,0,0
bodyId_1539508448,1,12,3,0,1,0,1,0,0,0,0,0,12,3,0,4,2,0,0
bodyId_1540241926,2,81,3,0,0,0,0,0,0,0,0,0,1,75,0,0,0,0,0
bodyId_1563099587,0,0,0,2,13,0,0,0,0,0,0,11,0,0,0,0,0,0,0
bodyId_1564874708,0,0,0,0,38,0,0,0,0,0,0,22,0,0,0,0,0,0,0
bodyId_1566178485,0,0,0,0,0,0,0,0,0,0,0,0,57,4,0,27,0,0,1
bodyId_1566506400,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,27,0,0,0
bodyId_1570249860,0,3,24,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0
bodyId_1570565128,0,11,63,0,0,0,0,0,0,0,0,0,13,95,0,0,0,0,11
bodyId_1571246774,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,51,0,0,0
bodyId_1573612290,3,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,221
bodyId_1597204590,1,0,0,0,0,0,0,0,0,0,0,0,2,65,0,56,1,0,0
bodyId_1597287219,0,0,0,0,45,0,0,0,0,0,0,30,0,0,0,0,0,0,0
bodyId_1599285725,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
bodyId_1599902570,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,11,0,0,1
bodyId_1600239500,1,0,0,0,0,0,0,0,0,0,0,0,1,87,0,9,0,0,177
bodyId_1601227987,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0
bodyId_1601603665,1,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,178
bodyId_1601711357,0,77,71,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
bodyId_1603260613,3,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,218
bodyId_1625252129,0,0,0,0,35,0,0,0,0,0,0,31,0,0,0,0,0,0,0
bodyId_1625537295,0,0,0,0,23,0,0,0,0,0,0,12,0,0,0,0,0,0,0
bodyId_1625550248,0,5,1,0,42,0,0,0,0,0,0,18,0,0,0,0,0,0,0
bodyId_1627277351,0,0,0,0,25,0,0,0,0,0,0,11,0,0,0,0,0,0,0
bodyId_1628135911,0,0,0,0,7,0,0,0,0,0,0,22,0,0,0,0,0,0,0
bodyId_1628973439,3,41,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
bodyId_1630281172,0,0,3,0,0,0,0,0,0,0,0,0,42,13,0,0,0,0,0
bodyId_1630342162,185,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,133
bodyId_1630678904,0,0,0,0,0,0,0,0,0,0,0,0,1,101,0,0,0,0,60
bodyId_1632309827,0,1,58,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0
bodyId_1633337773,0,3,40,0,0,0,0,0,0,0,0,0,2,96,0,0,0,0,1
bodyId_1657262624,0,0,0,0,46,0,0,0,0,0,0,34,0,0,0,0,0,0,0
bodyId_1658963980,0,13,71,0,0,0,0,0,0,0,0,0,45,9,0,0,0,0,1
bodyId_1660267880,0,0,0,0,0,0,0,0,0,0,0,0,33,14,0,0,1,0,0
bodyId_1662947570,0,0,0,0,0,0,0,0,0,0,0,0,1,38,0,36,6,0,0
bodyId_1663639752,142,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,112
bodyId_1663768979,0,0,0,0,17,0,0,0,0,0,0,16,0,0,0,0,0,0,0
bodyId_1690694192,184,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,151
bodyId_1690698128,166,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,144
bodyId_1691298247,0,1,19,0,0,0,0,0,0,0,0,0,1,93,0,0,0,0,0
bodyId_1691310419,0,3,66,0,0,0,0,0,0,0,0,0,9,54,0,2,0,0,0
bodyId_1691405824,0,12,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_1691638475,2,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,46
bodyId_1692304756,4,0,0,0,0,0,0,0,0,0,0,0,1,79,0,0,0,0,122
bodyId_1717985153,0,0,0,0,29,0,0,0,0,0,0,14,0,0,0,0,0,0,0
bodyId_1718671665,0,0,0,0,17,0,0,0,0,0,0,7,0,0,0,0,0,0,0
bodyId_1720105182,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
bodyId_1720333334,0,0,0,70,0,62,14,0,0,0,0,0,0,0,0,1,0,0,0
bodyId_1721369735,0,0,5,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
bodyId_1721862006,0,0,0,0,7,0,0,0,0,0,0,19,0,0,0,0,0,0,0
bodyId_1723732230,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,29
bodyId_1728104437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,54,0,0
bodyId_1749374615,0,0,0,0,43,0,0,0,0,0,0,29,0,0,0,0,0,21,0
bodyId_1750419433,0,0,0,0,31,0,0,0,0,0,0,25,0,0,0,0,0,0,0
bodyId_1752067852,0,0,6,0,15,0,0,0,0,0,0,2,2,0,0,0,0,0,0
bodyId_1752703194,1,1,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,27
bodyId_1757477299,0,0,10,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
bodyId_1812696401,0,0,2,0,13,0,0,0,0,0,0,0,8,0,0,0,0,0,0
bodyId_1848506334,133,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,143
bodyId_1875284107,0,0,0,0,38,0,0,0,0,0,12,4,0,0,0,0,0,5,0
bodyId_1879226079,123,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176
bodyId_2307027729,0,85,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_2349505897,0,0,1,26,0,0,1,0,0,0,0,0,0,0,1,48,1,0,0
bodyId_5812980291,0,55,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodyId_5812981242,0,0,0,0,0,1,2,12,17,1,0,0,0,0,0,0,0,0,0
bodyId_5812982994,0,0,0,0,0,30,1,0,0,4,0,0,1,0,0,0,0,0,0
bodyId_5812983517,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,27,0,0,0
bodyId_5812989815,0,0,0,0,33,0,0,0,0,0,0,26,0,0,0,0,0,0,0
bodyId_5812989822,0,0,0,0,6,0,0,0,0,0,0,13,0,0,0,0,0,0,0
bodyId_5812992706,0,24,15,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0
bodyId_5812994205,0,8,59,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0
bodyId_5813014382,0,0,6,0,20,0,0,0,0,0,0,8,2,0,0,0,0,0,0
bodyId_5813016762,0,0,0,0,34,0,0,0,0,0,0,29,0,0,0,2,0,0,0
bodyId_5813017315,184,85,0,0,0,0,0,0,0,0,0,0,0,0,11,6,1,0,0
